station,channel,station_latitude,station_longitude,vs30_ms,Ml,epicentral_distance,hypocentral_distance,channel_pga_pct_g,channel_pgv_ms
PEUT,ENE,38.7759,-112.0886,234.0,4.1,154.93,155.08,0.01177297,0.00462701
PEUT,ENN,38.7759,-112.0886,234.0,4.1,154.93,155.08,0.00848082,0.00349294
REUT,ENE,37.0977,-113.519,234.0,4.1,70.01,70.34,0.1443378,0.06067246
REUT,ENN,37.0977,-113.519,234.0,4.1,70.01,70.34,0.1597711,0.04854334
SCUT,ENE,37.1282,-113.6447,234.0,4.1,74.88,75.19,0.2088607,0.03004035
SCUT,ENN,37.1282,-113.6447,234.0,4.1,74.88,75.19,0.112501,0.0341633
WCO,ENE,37.1318,-113.509,234.0,4.1,66.48,66.83,0.06341069,0.02176632
WCO,ENN,37.1318,-113.509,234.0,4.1,66.48,66.83,0.05754064,0.01447839
7223,HNE,37.1003,-113.5656,234.0,3.0,59.86,61.03,0.01873156,0.00259266
7223,HNN,37.1003,-113.5656,234.0,3.0,59.86,61.03,0.02451529,0.004208
7224,HNE,37.6725,-113.0715,234.0,3.0,66.37,67.43,0.01286371,0.0040991
7224,HNN,37.6725,-113.0715,234.0,3.0,66.37,67.43,0.01304708,0.0036451
CCUT,HHE,37.5507,-113.363,2197.0,3.0,65.84,66.9,0.00637018,0.00175443
CCUT,HHN,37.5507,-113.363,2197.0,3.0,65.84,66.9,0.00924676,0.00141705
KNB,HHE,37.0167,-112.8223,1460.0,3.0,10.4,15.81,0.1837288,0.03259973
KNB,HHN,37.0167,-112.8223,1460.0,3.0,10.4,15.81,0.08921052,0.01698451
CCPU,ENE,37.666,-113.0882,1010.0,3.0,66.05,67.11,0.0072647,0.00167926
CCPU,ENN,37.666,-113.0882,1010.0,3.0,66.05,67.11,0.01232627,0.00315709
HHS,ENE,37.1738,-113.296,234.0,3.0,37.01,38.87,0.06551757,0.01155499
HHS,ENN,37.1738,-113.296,234.0,3.0,37.01,38.87,0.06826312,0.01694415
KEUT,ENE,37.0503,-112.529,234.0,3.0,32.63,34.74,0.03141351,0.00703465
KEUT,ENN,37.0503,-112.529,234.0,3.0,32.63,34.74,0.05060058,0.00831277
LCMT,ENE,37.0118,-113.244,1460.0,3.0,32.52,34.63,0.1519266,0.02364163
LCMT,ENN,37.0118,-113.244,1460.0,3.0,32.52,34.63,0.1503304,0.03283438
REUT,ENE,37.0977,-113.519,234.0,3.0,55.72,56.97,0.04169429,0.00958178
REUT,ENN,37.0977,-113.519,234.0,3.0,55.72,56.97,0.06031606,0.01363714
WCO,ENE,37.1318,-113.509,234.0,3.0,54.99,56.27,0.0256209,0.00479861
WCO,ENN,37.1318,-113.509,234.0,3.0,54.99,56.27,0.02519831,0.00507801
WDO,ENE,37.1077,-113.587,234.0,3.0,61.78,62.92,0.03857872,0.00747144
WDO,ENN,37.1077,-113.587,234.0,3.0,61.78,62.92,0.04018489,0.00752372
CTU,HHE,40.6925,-111.7503,2197.0,3.6,186.92,186.94,0.00326304,0.00173047
CTU,HHN,40.6925,-111.7503,2197.0,3.6,186.92,186.94,0.00237699,0.00162805
HVU,HHE,41.7797,-112.775,2197.0,3.6,131.83,131.85,0.0120494,0.00564607
HVU,HHN,41.7797,-112.775,2197.0,3.6,131.83,131.85,0.01419364,0.00812323
NOQ,HHE,40.6528,-112.1188,2197.0,3.6,198.58,198.6,0.00325567,0.00153744
NOQ,HHN,40.6528,-112.1188,2197.0,3.6,198.58,198.6,0.00309582,0.00086755
MPU,HHE,40.0155,-111.6333,2197.0,3.3,128.81,128.82,0.00232132,0.00083166
MPU,HHN,40.0155,-111.6333,2197.0,3.3,128.81,128.82,0.00196326,0.00060907
NOQ,HHE,40.6528,-112.1188,2197.0,3.3,196.41,196.42,0.00055126,0.0002609
NOQ,HHN,40.6528,-112.1188,2197.0,3.3,196.41,196.42,0.00059227,0.00024863
SRU,HHE,39.1108,-110.5238,1460.0,3.3,128.63,128.64,0.01837159,0.00586155
SRU,HHN,39.1108,-110.5238,1460.0,3.3,128.63,128.64,0.00955167,0.0035915
7223,HNE,37.1003,-113.5656,234.0,3.8,66.98,67.29,0.03447751,0.00802722
7223,HNN,37.1003,-113.5656,234.0,3.8,66.98,67.29,0.1448007,0.0354989
7224,HNE,37.6725,-113.0715,234.0,3.8,13.8,15.21,0.5068993,0.1331354
7224,HNN,37.6725,-113.0715,234.0,3.8,13.8,15.21,0.5554202,0.1934623
7225,HNE,38.2835,-112.6387,234.0,3.8,88.1,88.33,0.01277136,0.00457183
7225,HNN,38.2835,-112.6387,234.0,3.8,88.1,88.33,0.01388517,0.00406662
CCUT,HHE,37.5507,-113.363,2197.0,3.8,15.78,17.03,0.2036483,0.05116836
CCUT,HHN,37.5507,-113.363,2197.0,3.8,15.78,17.03,0.2465107,0.04258658
KNB,HHE,37.0167,-112.8223,1460.0,3.8,77.49,77.75,0.03068675,0.01278967
KNB,HHN,37.0167,-112.8223,1460.0,3.8,77.49,77.75,0.02473535,0.00601981
TCRU,HHE,38.6095,-112.447,1010.0,3.8,127.47,127.63,0.01881079,0.00456275
TCRU,HHN,38.6095,-112.447,1010.0,3.8,127.47,127.63,0.01343805,0.00411405
CCPU,ENE,37.666,-113.0882,1010.0,3.8,12.19,13.77,0.3729212,0.04959744
CCPU,ENN,37.666,-113.0882,1010.0,3.8,12.19,13.77,0.4040129,0.1039462
CVH,ENE,37.7152,-113.064,234.0,3.8,16.35,17.56,0.6719448,0.1614658
CVH,ENN,37.7152,-113.064,234.0,3.8,16.35,17.56,0.8370019,0.203097
HHS,ENE,37.1738,-113.296,234.0,3.8,51.92,52.31,0.1385814,0.03393057
HHS,ENN,37.1738,-113.296,234.0,3.8,51.92,52.31,0.1307386,0.03135679
IAE,ENE,37.6652,-113.067,234.0,3.8,13.99,15.38,0.9476773,0.2362207
IAE,ENN,37.6652,-113.067,234.0,3.8,13.99,15.38,0.7921487,0.2782328
KEUT,ENE,37.0503,-112.529,234.0,3.8,89.55,89.78,0.0793581,0.03152582
KEUT,ENN,37.0503,-112.529,234.0,3.8,89.55,89.78,0.08433025,0.02632558
MTPU,ENE,38.0415,-112.184,1010.0,3.8,101.74,101.94,0.00899767,0.00307927
MTPU,ENN,38.0415,-112.184,1010.0,3.8,101.74,101.94,0.01622232,0.00427056
PEUT,ENE,38.7759,-112.0886,234.0,3.8,160.65,160.77,0.15272,0.00600833
PEUT,ENN,38.7759,-112.0886,234.0,3.8,160.65,160.77,0.3028426,0.01431781
PKCU,ENE,37.4438,-112.311,1010.0,3.8,83.32,83.56,0.05465615,0.02150883
PKCU,ENN,37.4438,-112.311,1010.0,3.8,83.32,83.56,0.04764313,0.01939546
PSUT,ENE,38.5337,-113.855,1010.0,3.8,113.91,114.09,0.00599463,0.00217608
PSUT,ENN,38.5337,-113.855,1010.0,3.8,113.91,114.09,0.01091926,0.00402356
REUT,ENE,37.0977,-113.519,234.0,3.8,65.47,65.78,0.2637052,0.06481535
REUT,ENN,37.0977,-113.519,234.0,3.8,65.47,65.78,0.1982327,0.05397097
SCUT,ENE,37.1282,-113.6447,234.0,3.8,67.84,68.14,0.1541911,0.05679039
SCUT,ENN,37.1282,-113.6447,234.0,3.8,67.84,68.14,0.2068613,0.08628015
SGSU,ENE,38.2768,-112.6403,234.0,3.8,87.41,87.65,0.02147702,0.00504976
SGSU,ENN,38.2768,-112.6403,234.0,3.8,87.41,87.65,0.05520477,0.01255328
WCO,ENE,37.1318,-113.509,234.0,3.8,61.65,61.98,0.1078381,0.03324666
WCO,ENN,37.1318,-113.509,234.0,3.8,61.65,61.98,0.09170593,0.02618602
WDO,ENE,37.1077,-113.587,234.0,3.8,67.14,67.45,0.157398,0.03303855
WDO,ENN,37.1077,-113.587,234.0,3.8,67.14,67.45,0.1850238,0.03566451
ZNPU,ENE,37.3562,-113.125,1460.0,3.8,32.4,33.03,0.2904954,0.08142738
ZNPU,ENN,37.3562,-113.125,1460.0,3.8,32.4,33.03,0.3798941,0.08508387
HWUT,BHE,41.6068,-111.5652,2197.0,3.1,104.86,104.86,0.00143598,0.00055332
HWUT,BHN,41.6068,-111.5652,2197.0,3.1,104.86,104.86,0.00134333,0.00053932
HVU,HHE,41.7797,-112.775,2197.0,3.1,143.41,143.42,0.00409907,0.00195825
HVU,HHN,41.7797,-112.775,2197.0,3.1,143.41,143.42,0.00984492,0.00522937
TCU,HHE,41.1173,-111.4078,1460.0,3.1,158.03,158.03,0.00522646,0.0021939
TCU,HHN,41.1173,-111.4078,1460.0,3.1,158.03,158.03,0.00493072,0.00229422
ETW,ENE,41.6692,-112.1422,234.0,3.1,115.79,115.79,0.00729902,0.00302636
ETW,ENN,41.6692,-112.1422,234.0,3.1,115.79,115.79,0.00746824,0.00260183
PCL,ENE,41.31,-112.1,166.0,3.1,149.34,149.34,0.00515293,0.00222841
PCL,ENN,41.31,-112.1,166.0,3.1,149.34,149.34,0.0053814,0.00238827
WBC,ENE,41.1397,-111.9008,2197.0,3.1,161.59,161.59,0.00471507,0.00129727
WBC,ENN,41.1397,-111.9008,2197.0,3.1,161.59,161.59,0.00716318,0.00227458
CVRU,HHE,38.9177,-111.172,234.0,3.2,97.16,97.19,0.01145482,0.00240904
CVRU,HHN,38.9177,-111.172,234.0,3.2,97.16,97.19,0.01744815,0.0027649
HMU,HHE,37.938,-110.742,1010.0,3.2,34.64,34.74,0.03747757,0.01521837
HMU,HHN,37.938,-110.742,1010.0,3.2,34.64,34.74,0.03025521,0.00970284
KNB,HHE,37.0167,-112.8223,1460.0,3.2,189.25,189.27,0.00118689,0.00054232
KNB,HHN,37.0167,-112.8223,1460.0,3.2,189.25,189.27,0.00108128,0.00058127
SRU,HHE,39.1108,-110.5238,1460.0,3.2,129.1,129.13,0.00610291,0.00138888
SRU,HHN,39.1108,-110.5238,1460.0,3.2,129.1,129.13,0.0040384,0.0011955
TCRU,HHE,38.6095,-112.447,1010.0,3.2,132.48,132.5,0.00164894,0.00031896
TCRU,HHN,38.6095,-112.447,1010.0,3.2,132.48,132.5,0.0016932,0.00032047
TMU,HHE,39.2965,-111.2082,1010.0,3.2,139.32,139.34,0.00344199,0.00119093
TMU,HHN,39.2965,-111.2082,1010.0,3.2,139.32,139.34,0.00412282,0.00173334
ZNPU,HHE,37.3562,-113.125,1460.0,3.2,193.14,193.16,0.00264644,0.00117305
